,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
246,0 days 00:00:48.622905,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
247,0 days 00:00:48.810397,106,121,121,110,107,133,136,135,135,255,255,255,255,255,255,255,255,255
248,0 days 00:00:49.013505,105,120,120,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
249,0 days 00:00:49.216617,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
250,0 days 00:00:49.404110,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
251,0 days 00:00:49.607214,105,120,121,109,106,133,135,134,134,255,255,255,255,255,255,255,255,255
252,0 days 00:00:49.810328,106,121,121,110,107,133,136,135,135,255,255,255,255,255,255,255,255,255
253,0 days 00:00:49.997820,106,121,121,110,107,133,136,134,135,255,255,255,255,255,255,255,255,255
254,0 days 00:00:50.200928,106,120,121,110,106,133,136,134,134,255,255,255,255,255,255,255,255,255
255,0 days 00:00:50.388411,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
256,0 days 00:00:50.591531,106,121,121,111,107,133,136,134,135,255,255,255,255,255,255,255,255,255
257,0 days 00:00:50.794639,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
258,0 days 00:00:50.982131,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
259,0 days 00:00:51.185244,106,121,121,111,106,133,135,134,135,255,255,255,255,255,255,255,255,255
260,0 days 00:00:51.388351,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
261,0 days 00:00:51.575844,106,121,121,111,107,133,136,134,134,255,255,255,255,255,255,255,255,255
262,0 days 00:00:51.778951,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
263,0 days 00:00:51.982062,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
264,0 days 00:00:52.173060,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
265,0 days 00:00:52.376135,106,121,121,110,106,133,135,134,135,255,255,255,255,255,255,255,255,255
266,0 days 00:00:52.563660,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
267,0 days 00:00:52.766772,105,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
