,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
236,0 days 00:00:46.690008,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
237,0 days 00:00:46.877513,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
238,0 days 00:00:47.080633,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
239,0 days 00:00:47.283759,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
240,0 days 00:00:47.471264,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
241,0 days 00:00:47.674384,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
242,0 days 00:00:47.877508,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
243,0 days 00:00:48.065014,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
244,0 days 00:00:48.268135,123,141,139,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
245,0 days 00:00:48.455599,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
246,0 days 00:00:48.658764,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
247,0 days 00:00:48.861884,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
248,0 days 00:00:49.065009,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
249,0 days 00:00:49.252514,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
250,0 days 00:00:49.455633,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
251,0 days 00:00:49.658758,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
252,0 days 00:00:49.846263,123,141,140,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
253,0 days 00:00:50.049383,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
254,0 days 00:00:50.252509,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
255,0 days 00:00:50.440014,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
256,0 days 00:00:50.643133,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
257,0 days 00:00:50.830639,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
258,0 days 00:00:51.033763,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
259,0 days 00:00:51.236884,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
260,0 days 00:00:51.424392,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
261,0 days 00:00:51.627514,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
262,0 days 00:00:51.830634,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
263,0 days 00:00:52.018138,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
264,0 days 00:00:52.221263,123,141,139,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
265,0 days 00:00:52.424383,123,141,140,133,127,151,151,152,150,255,255,255,255,255,255,255,255,255
266,0 days 00:00:52.611888,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
267,0 days 00:00:52.814992,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
