time,battery_level
2024-01-01 09:03:39.979163149+00:00,46.4
2024-01-01 09:15:33.421220307+00:00,42.4
2024-01-01 09:27:27.241116972+00:00,41.4
2024-01-01 09:39:21.283467182+00:00,50.4
2024-01-01 09:51:14.505944936+00:00,47.4
2024-01-01 10:03:08.151644720+00:00,50.4
2024-01-01 10:15:01.884188853+00:00,40.4
2024-01-01 10:26:56.323626352+00:00,47.4
2024-01-01 10:38:50.572148875+00:00,40.4
2024-01-01 10:50:44.414238578+00:00,40.4
2024-01-01 11:02:38.587931145+00:00,38.4
2024-01-01 11:14:32.296350462+00:00,38.4
2024-01-01 11:26:25.824301820+00:00,43.4
2024-01-01 11:38:19.658438082+00:00,45.4
2024-01-01 11:50:13.288068997+00:00,45.4
2024-01-01 12:02:06.655374253+00:00,38.4
2024-01-01 12:14:00.453705481+00:00,47.4
2024-01-01 12:25:53.981514510+00:00,47.4
2024-01-01 12:37:48.035173038+00:00,37.4
2024-01-01 12:49:41.762552294+00:00,38.4
2024-01-01 13:01:35.583223543+00:00,48.4
2024-01-01 13:13:29.234839538+00:00,44.4
2024-01-01 13:25:22.781806207+00:00,48.4
2024-01-01 13:37:16.933469910+00:00,37.4
2024-01-01 13:49:10.436397941+00:00,44.4
2024-01-01 14:01:04.679654171+00:00,37.4
2024-01-01 14:12:58.620440061+00:00,48.4
2024-01-01 14:24:51.843822501+00:00,46.4
2024-01-01 14:36:45.170767927+00:00,46.4
2024-01-01 14:48:38.188426223+00:00,40.4
2024-01-01 15:00:33.047880709+00:00,33.4
2024-01-01 15:12:26.472786789+00:00,33.4
2024-01-01 15:24:20.824987407+00:00,46.4
2024-01-01 15:36:15.012388284+00:00,41.4
2024-01-01 15:48:08.548052702+00:00,33.4
2024-01-01 16:00:01.525153714+00:00,32.4
2024-01-01 16:11:55.048573717+00:00,30.4
2024-01-01 16:23:48.170682951+00:00,32.4
2024-01-01 16:35:42.415053555+00:00,43.4
2024-01-01 16:47:35.737957911+00:00,45.4
2024-01-01 16:59:29.473653806+00:00,30.4
2024-01-01 17:11:23.208752897+00:00,38.4
2024-01-01 17:23:17.642442377+00:00,29.4
2024-01-01 17:35:10.989189250+00:00,32.4
2024-01-01 17:47:04.328664579+00:00,37.4
2024-01-01 17:58:58.697528618+00:00,29.4
2024-01-01 18:10:51.923139442+00:00,33.4
2024-01-01 18:22:45.661863368+00:00,30.4
2024-01-01 18:34:39.560687049+00:00,32.4
2024-01-01 18:46:33.448635139+00:00,37.4
2024-01-01 18:58:26.416218740+00:00,35.4
2024-01-01 19:10:20.352841388+00:00,32.4
2024-01-01 19:22:13.989859110+00:00,32.4
2024-01-01 19:34:08.231230488+00:00,30.4
2024-01-01 19:46:02.376740117+00:00,35.4
2024-01-01 19:57:56.114982281+00:00,29.4
2024-01-01 20:09:49.639249641+00:00,33.4
2024-01-01 20:21:43.277946949+00:00,43.4
2024-01-01 20:33:36.903394259+00:00,42.4
2024-01-01 20:45:30.435299283+00:00,41.4
2024-01-01 20:57:23.891166872+00:00,28.4
2024-01-01 21:09:17.535684739+00:00,33.4
2024-01-01 21:21:11.229209800+00:00,27.4
2024-01-01 21:33:04.661356429+00:00,28.4
2024-01-01 21:44:58.601473976+00:00,38.4
2024-01-01 21:56:51.921534847+00:00,27.4
2024-01-01 22:08:45.865078140+00:00,28.4
2024-01-01 22:20:38.267642528+00:00,28.4
2024-01-01 22:32:32.822872033+00:00,37.4
2024-01-01 22:44:25.526915711+00:00,33.4
2024-01-01 22:56:19.059795701+00:00,38.4
2024-01-01 23:08:12.587044272+00:00,38.4
2024-01-01 23:20:06.940538259+00:00,29.4
2024-01-01 23:32:00.312742878+00:00,38.4
2024-01-01 23:43:54.207858717+00:00,32.4
2024-01-01 23:55:47.840981428+00:00,26.4
2024-01-02 00:07:42.291650179+00:00,25.4
2024-01-02 00:19:35.157968639+00:00,28.4
2024-01-02 00:31:28.940884390+00:00,28.4
